@relation train_model

@attribute numHashtags numeric
@attribute numUpperCases numeric
@attribute numUrls numeric
@attribute sentimentScore numeric
@attribute cntFollowers numeric
@attribute cntFriends numeric
@attribute followers2friends numeric
@attribute diffInDays numeric
@attribute cntLists numeric
@attribute cntPosts numeric
@attribute cntAdjective numeric
@attribute cntAdverbs numeric
@attribute cntVerbs numeric
@attribute meanWordsPerSentence numeric
@attribute meanWordLength numeric
@attribute class {normal,spam,aggressive,bully}

@data
0.9,5.9,0.3,0.2,560,95,5.894737,711,12,34261,6,3,11,15.2,13.513,normal
2,1.6,0.6,0.2,623,850,0.732941,1374,24,4541,8,3,13,14.2,6.84,aggressive
3.6,1.4,1,0.2,15338,9083,1.688649,476,428,251637,5,1,9,17.2,7.064,normal
1.8,1.8,0.4,0.2,799,653,1.223583,579,3,28103,2,0,1,8.2,6.775,spam
1,4.4,0.2,0.2,282,699,0.403433,507,1,17865,4,8,10,12,6.538,normal
2,3.8,1,0.2,978,285,3.431579,2803,74,249955,7,0,6,12.8,6.299,spam
3,2.2,2,0.2,4883,3189,1.531201,801,1952,265154,3,0,2,11.6,8.162,normal
1.4,1.2,1,0.2,4756,3745,1.26996,573,7,16792,2,6,11,12.6,8.638,normal
3.8,1.2,0.4,0.2,22,211,0.104265,181,0,217,5,9,23,16.4,7.092,normal
3.3,1.9,1.1,0.2,22,211,0.104265,181,0,217,6,4,16,18.4,6.179,normal
3.2,1.2,1.2,0.2,24753,23921,1.034781,1152,732,299542,5,1,6,13.2,7.999,normal
1,6.2,0.8,0.2,10339,3014,3.430325,1047,124,102931,3,2,8,10.8,7.429,spam
1.1,1.2,0.6,0.2,1029,1983,0.518911,598,3,15493,2,2,13,7.2,10.034,spam
4,3.4,1,0.2,2635,2395,1.100209,1799,76,248343,2,0,8,13.4,7.018,spam
1,0.4,0,0.2,124,1125,0.110222,406,12,8166,6,4,9,9,7.004,normal
1,1.8,0.6,0.2,574,384,1.494792,359,2,6209,2,0,4,7.7,7.141,spam
1.7,1.3,0.3,0.2,660,609,1.083744,994,105,129034,3,3,8,13.1,10.369,bully
2.7,1.5,1,0.2,660,609,1.083744,994,105,129034,2,0,14,13.6,9.243,spam
1.7,0.9,0.8,0.2,660,609,1.083744,994,105,129034,0,1,14,11.8,11.208,spam
